07/22/2026 20:48:15 - INFO - src.utils -   Loading backbone [qwen3_vl]
`torch_dtype` is deprecated! Use `dtype` instead!
07/22/2026 20:48:19 - INFO - src.utils -   Loading processor
The tokenizer you are loading from 'pruned_models/qwen3vl-2b-19layer-keep26' with an incorrect regex pattern: https://huggingface.co/mistralai/Mistral-Small-3.1-24B-Instruct-2503/discussions/84#69121093e8b480e709447d5e. This will lead to incorrect tokenization. You should set the `fix_mistral_regex=True` flag when loading this tokenizer to fix this issue.
The tokenizer you are loading from 'pruned_models/qwen3vl-2b-19layer-keep26' with an incorrect regex pattern: https://huggingface.co/mistralai/Mistral-Small-3.1-24B-Instruct-2503/discussions/84#69121093e8b480e709447d5e. This will lead to incorrect tokenization. You should set the `fix_mistral_regex=True` flag when loading this tokenizer to fix this issue.
Loaded 1000 eval rows
You're using a Qwen2TokenizerFast tokenizer. Please note that with a fast tokenizer, using the `__call__` method is faster than using a method to encode the text followed by a call to the `pad` method to get a padded encoding.
[10/1000] running P@1=0.0000 (0/10)
[20/1000] running P@1=0.0500 (1/20)
[30/1000] running P@1=0.0667 (2/30)
[40/1000] running P@1=0.0500 (2/40)
[50/1000] running P@1=0.0400 (2/50)
[60/1000] running P@1=0.0500 (3/60)
[70/1000] running P@1=0.0429 (3/70)
[80/1000] running P@1=0.0375 (3/80)
[90/1000] running P@1=0.0333 (3/90)
[100/1000] running P@1=0.0300 (3/100)
[110/1000] running P@1=0.0273 (3/110)
[120/1000] running P@1=0.0250 (3/120)
[130/1000] running P@1=0.0231 (3/130)
[140/1000] running P@1=0.0214 (3/140)
[150/1000] running P@1=0.0200 (3/150)
[160/1000] running P@1=0.0187 (3/160)
[170/1000] running P@1=0.0176 (3/170)
[180/1000] running P@1=0.0167 (3/180)
[190/1000] running P@1=0.0158 (3/190)
[200/1000] running P@1=0.0200 (4/200)
[210/1000] running P@1=0.0190 (4/210)
[220/1000] running P@1=0.0182 (4/220)
[230/1000] running P@1=0.0174 (4/230)
[240/1000] running P@1=0.0167 (4/240)
[250/1000] running P@1=0.0160 (4/250)
[260/1000] running P@1=0.0154 (4/260)
[270/1000] running P@1=0.0148 (4/270)
[280/1000] running P@1=0.0179 (5/280)
[290/1000] running P@1=0.0172 (5/290)
[300/1000] running P@1=0.0167 (5/300)
[310/1000] running P@1=0.0194 (6/310)
[320/1000] running P@1=0.0187 (6/320)
[330/1000] running P@1=0.0182 (6/330)
[340/1000] running P@1=0.0206 (7/340)
[350/1000] running P@1=0.0200 (7/350)
[360/1000] running P@1=0.0194 (7/360)
[370/1000] running P@1=0.0216 (8/370)
[380/1000] running P@1=0.0211 (8/380)
[390/1000] running P@1=0.0231 (9/390)
[400/1000] running P@1=0.0225 (9/400)
[410/1000] running P@1=0.0244 (10/410)
[420/1000] running P@1=0.0238 (10/420)
[430/1000] running P@1=0.0233 (10/430)
[440/1000] running P@1=0.0227 (10/440)
[450/1000] running P@1=0.0222 (10/450)
[460/1000] running P@1=0.0239 (11/460)
[470/1000] running P@1=0.0255 (12/470)
[480/1000] running P@1=0.0250 (12/480)
[490/1000] running P@1=0.0245 (12/490)
[500/1000] running P@1=0.0240 (12/500)
[510/1000] running P@1=0.0235 (12/510)
[520/1000] running P@1=0.0250 (13/520)
[530/1000] running P@1=0.0264 (14/530)
[540/1000] running P@1=0.0278 (15/540)
[550/1000] running P@1=0.0273 (15/550)
[560/1000] running P@1=0.0286 (16/560)
[570/1000] running P@1=0.0298 (17/570)
[580/1000] running P@1=0.0293 (17/580)
[590/1000] running P@1=0.0288 (17/590)
[600/1000] running P@1=0.0283 (17/600)
[610/1000] running P@1=0.0279 (17/610)
[620/1000] running P@1=0.0274 (17/620)
[630/1000] running P@1=0.0270 (17/630)
[640/1000] running P@1=0.0266 (17/640)
[650/1000] running P@1=0.0277 (18/650)
[660/1000] running P@1=0.0273 (18/660)
[670/1000] running P@1=0.0269 (18/670)
[680/1000] running P@1=0.0265 (18/680)
[690/1000] running P@1=0.0261 (18/690)
[700/1000] running P@1=0.0257 (18/700)
[710/1000] running P@1=0.0268 (19/710)
[720/1000] running P@1=0.0264 (19/720)
[730/1000] running P@1=0.0260 (19/730)
[740/1000] running P@1=0.0257 (19/740)
[750/1000] running P@1=0.0253 (19/750)
[760/1000] running P@1=0.0250 (19/760)
[770/1000] running P@1=0.0247 (19/770)
[780/1000] running P@1=0.0244 (19/780)
[790/1000] running P@1=0.0241 (19/790)
[800/1000] running P@1=0.0238 (19/800)
[810/1000] running P@1=0.0235 (19/810)
[820/1000] running P@1=0.0232 (19/820)
[830/1000] running P@1=0.0229 (19/830)
[840/1000] running P@1=0.0226 (19/840)
[850/1000] running P@1=0.0259 (22/850)
[860/1000] running P@1=0.0256 (22/860)
[870/1000] running P@1=0.0253 (22/870)
[880/1000] running P@1=0.0250 (22/880)
[890/1000] running P@1=0.0258 (23/890)
[900/1000] running P@1=0.0256 (23/900)
[910/1000] running P@1=0.0253 (23/910)
[920/1000] running P@1=0.0250 (23/920)
[930/1000] running P@1=0.0247 (23/930)
[940/1000] running P@1=0.0255 (24/940)
[950/1000] running P@1=0.0253 (24/950)
[960/1000] running P@1=0.0250 (24/960)
[970/1000] running P@1=0.0247 (24/970)
[980/1000] running P@1=0.0255 (25/980)
[990/1000] running P@1=0.0263 (26/990)
[1000/1000] running P@1=0.0260 (26/1000)

Final P@1 over 1000 queries, avg candidate pool size=894.0 (chance=0.0011): 0.0260 (26/1000)
