07/22/2026 21:15:15 - INFO - src.utils -   Loading backbone [qwen3_vl]
`torch_dtype` is deprecated! Use `dtype` instead!
07/22/2026 21:15:19 - INFO - src.utils -   Loading processor
The tokenizer you are loading from 'pruned_models/qwen3vl-2b-19layer-keep26' with an incorrect regex pattern: https://huggingface.co/mistralai/Mistral-Small-3.1-24B-Instruct-2503/discussions/84#69121093e8b480e709447d5e. This will lead to incorrect tokenization. You should set the `fix_mistral_regex=True` flag when loading this tokenizer to fix this issue.
The tokenizer you are loading from 'pruned_models/qwen3vl-2b-19layer-keep26' with an incorrect regex pattern: https://huggingface.co/mistralai/Mistral-Small-3.1-24B-Instruct-2503/discussions/84#69121093e8b480e709447d5e. This will lead to incorrect tokenization. You should set the `fix_mistral_regex=True` flag when loading this tokenizer to fix this issue.
Loaded 1000 eval rows
You're using a Qwen2TokenizerFast tokenizer. Please note that with a fast tokenizer, using the `__call__` method is faster than using a method to encode the text followed by a call to the `pad` method to get a padded encoding.
[10/1000] running P@1=0.0000 (0/10)
[20/1000] running P@1=0.0500 (1/20)
[30/1000] running P@1=0.0667 (2/30)
[40/1000] running P@1=0.0500 (2/40)
[50/1000] running P@1=0.0400 (2/50)
[60/1000] running P@1=0.0500 (3/60)
[70/1000] running P@1=0.0429 (3/70)
[80/1000] running P@1=0.0375 (3/80)
[90/1000] running P@1=0.0333 (3/90)
[100/1000] running P@1=0.0300 (3/100)
[110/1000] running P@1=0.0273 (3/110)
[120/1000] running P@1=0.0250 (3/120)
[130/1000] running P@1=0.0231 (3/130)
[140/1000] running P@1=0.0214 (3/140)
[150/1000] running P@1=0.0200 (3/150)
[160/1000] running P@1=0.0187 (3/160)
[170/1000] running P@1=0.0176 (3/170)
[180/1000] running P@1=0.0167 (3/180)
[190/1000] running P@1=0.0158 (3/190)
[200/1000] running P@1=0.0200 (4/200)
[210/1000] running P@1=0.0190 (4/210)
[220/1000] running P@1=0.0182 (4/220)
[230/1000] running P@1=0.0174 (4/230)
[240/1000] running P@1=0.0167 (4/240)
[250/1000] running P@1=0.0160 (4/250)
[260/1000] running P@1=0.0154 (4/260)
[270/1000] running P@1=0.0148 (4/270)
[280/1000] running P@1=0.0143 (4/280)
[290/1000] running P@1=0.0138 (4/290)
[300/1000] running P@1=0.0133 (4/300)
[310/1000] running P@1=0.0161 (5/310)
[320/1000] running P@1=0.0156 (5/320)
[330/1000] running P@1=0.0152 (5/330)
[340/1000] running P@1=0.0147 (5/340)
[350/1000] running P@1=0.0143 (5/350)
[360/1000] running P@1=0.0139 (5/360)
[370/1000] running P@1=0.0162 (6/370)
[380/1000] running P@1=0.0158 (6/380)
[390/1000] running P@1=0.0179 (7/390)
[400/1000] running P@1=0.0175 (7/400)
[410/1000] running P@1=0.0195 (8/410)
[420/1000] running P@1=0.0190 (8/420)
[430/1000] running P@1=0.0186 (8/430)
[440/1000] running P@1=0.0182 (8/440)
[450/1000] running P@1=0.0178 (8/450)
[460/1000] running P@1=0.0196 (9/460)
[470/1000] running P@1=0.0213 (10/470)
[480/1000] running P@1=0.0208 (10/480)
[490/1000] running P@1=0.0204 (10/490)
[500/1000] running P@1=0.0200 (10/500)
[510/1000] running P@1=0.0196 (10/510)
[520/1000] running P@1=0.0212 (11/520)
[530/1000] running P@1=0.0226 (12/530)
[540/1000] running P@1=0.0222 (12/540)
[550/1000] running P@1=0.0218 (12/550)
[560/1000] running P@1=0.0232 (13/560)
[570/1000] running P@1=0.0246 (14/570)
[580/1000] running P@1=0.0241 (14/580)
[590/1000] running P@1=0.0237 (14/590)
[600/1000] running P@1=0.0233 (14/600)
[610/1000] running P@1=0.0230 (14/610)
[620/1000] running P@1=0.0226 (14/620)
[630/1000] running P@1=0.0222 (14/630)
[640/1000] running P@1=0.0219 (14/640)
[650/1000] running P@1=0.0215 (14/650)
[660/1000] running P@1=0.0212 (14/660)
[670/1000] running P@1=0.0209 (14/670)
[680/1000] running P@1=0.0206 (14/680)
[690/1000] running P@1=0.0203 (14/690)
[700/1000] running P@1=0.0200 (14/700)
[710/1000] running P@1=0.0211 (15/710)
[720/1000] running P@1=0.0208 (15/720)
[730/1000] running P@1=0.0205 (15/730)
[740/1000] running P@1=0.0203 (15/740)
[750/1000] running P@1=0.0200 (15/750)
[760/1000] running P@1=0.0197 (15/760)
[770/1000] running P@1=0.0195 (15/770)
[780/1000] running P@1=0.0192 (15/780)
[790/1000] running P@1=0.0190 (15/790)
[800/1000] running P@1=0.0187 (15/800)
[810/1000] running P@1=0.0185 (15/810)
[820/1000] running P@1=0.0183 (15/820)
[830/1000] running P@1=0.0181 (15/830)
[840/1000] running P@1=0.0179 (15/840)
[850/1000] running P@1=0.0212 (18/850)
[860/1000] running P@1=0.0209 (18/860)
[870/1000] running P@1=0.0207 (18/870)
[880/1000] running P@1=0.0205 (18/880)
[890/1000] running P@1=0.0213 (19/890)
[900/1000] running P@1=0.0211 (19/900)
[910/1000] running P@1=0.0209 (19/910)
[920/1000] running P@1=0.0207 (19/920)
[930/1000] running P@1=0.0204 (19/930)
[940/1000] running P@1=0.0213 (20/940)
[950/1000] running P@1=0.0211 (20/950)
[960/1000] running P@1=0.0208 (20/960)
[970/1000] running P@1=0.0206 (20/970)
[980/1000] running P@1=0.0214 (21/980)
[990/1000] running P@1=0.0222 (22/990)
[1000/1000] running P@1=0.0220 (22/1000)

Final P@1 over 1000 queries, avg candidate pool size=894.0 (chance=0.0011): 0.0220 (22/1000)
