07/22/2026 06:19:13 - INFO - src.utils -   Loading backbone [qwen3_vl]
`torch_dtype` is deprecated! Use `dtype` instead!
07/22/2026 06:19:17 - INFO - src.utils -   Loading processor
The tokenizer you are loading from 'pruned_models/qwen3vl-2b-20layer' with an incorrect regex pattern: https://huggingface.co/mistralai/Mistral-Small-3.1-24B-Instruct-2503/discussions/84#69121093e8b480e709447d5e. This will lead to incorrect tokenization. You should set the `fix_mistral_regex=True` flag when loading this tokenizer to fix this issue.
The tokenizer you are loading from 'pruned_models/qwen3vl-2b-20layer' with an incorrect regex pattern: https://huggingface.co/mistralai/Mistral-Small-3.1-24B-Instruct-2503/discussions/84#69121093e8b480e709447d5e. This will lead to incorrect tokenization. You should set the `fix_mistral_regex=True` flag when loading this tokenizer to fix this issue.
Loaded 1000 eval rows
You're using a Qwen2TokenizerFast tokenizer. Please note that with a fast tokenizer, using the `__call__` method is faster than using a method to encode the text followed by a call to the `pad` method to get a padded encoding.
[10/1000] running P@1=0.1000 (1/10)
[20/1000] running P@1=0.1000 (2/20)
[30/1000] running P@1=0.1000 (3/30)
[40/1000] running P@1=0.1000 (4/40)
[50/1000] running P@1=0.1200 (6/50)
[60/1000] running P@1=0.1167 (7/60)
[70/1000] running P@1=0.1143 (8/70)
[80/1000] running P@1=0.1000 (8/80)
[90/1000] running P@1=0.0889 (8/90)
[100/1000] running P@1=0.0800 (8/100)
[110/1000] running P@1=0.0818 (9/110)
[120/1000] running P@1=0.0917 (11/120)
[130/1000] running P@1=0.1000 (13/130)
[140/1000] running P@1=0.1000 (14/140)
[150/1000] running P@1=0.1067 (16/150)
[160/1000] running P@1=0.1062 (17/160)
[170/1000] running P@1=0.1000 (17/170)
[180/1000] running P@1=0.0944 (17/180)
[190/1000] running P@1=0.0895 (17/190)
[200/1000] running P@1=0.0950 (19/200)
[210/1000] running P@1=0.1000 (21/210)
[220/1000] running P@1=0.1000 (22/220)
[230/1000] running P@1=0.0957 (22/230)
[240/1000] running P@1=0.0917 (22/240)
[250/1000] running P@1=0.0880 (22/250)
[260/1000] running P@1=0.0846 (22/260)
[270/1000] running P@1=0.0889 (24/270)
[280/1000] running P@1=0.0964 (27/280)
[290/1000] running P@1=0.0931 (27/290)
[300/1000] running P@1=0.0967 (29/300)
[310/1000] running P@1=0.0968 (30/310)
[320/1000] running P@1=0.0938 (30/320)
[330/1000] running P@1=0.0909 (30/330)
[340/1000] running P@1=0.0882 (30/340)
[350/1000] running P@1=0.0857 (30/350)
[360/1000] running P@1=0.0861 (31/360)
[370/1000] running P@1=0.0892 (33/370)
[380/1000] running P@1=0.0868 (33/380)
[390/1000] running P@1=0.0846 (33/390)
[400/1000] running P@1=0.0825 (33/400)
[410/1000] running P@1=0.0829 (34/410)
[420/1000] running P@1=0.0833 (35/420)
[430/1000] running P@1=0.0837 (36/430)
[440/1000] running P@1=0.0864 (38/440)
[450/1000] running P@1=0.0889 (40/450)
[460/1000] running P@1=0.0870 (40/460)
[470/1000] running P@1=0.0851 (40/470)
[480/1000] running P@1=0.0875 (42/480)
[490/1000] running P@1=0.0857 (42/490)
[500/1000] running P@1=0.0840 (42/500)
[510/1000] running P@1=0.0824 (42/510)
[520/1000] running P@1=0.0808 (42/520)
[530/1000] running P@1=0.0792 (42/530)
[540/1000] running P@1=0.0796 (43/540)
[550/1000] running P@1=0.0818 (45/550)
[560/1000] running P@1=0.0804 (45/560)
[570/1000] running P@1=0.0789 (45/570)
[580/1000] running P@1=0.0776 (45/580)
[590/1000] running P@1=0.0763 (45/590)
[600/1000] running P@1=0.0767 (46/600)
[610/1000] running P@1=0.0754 (46/610)
[620/1000] running P@1=0.0774 (48/620)
[630/1000] running P@1=0.0762 (48/630)
[640/1000] running P@1=0.0750 (48/640)
[650/1000] running P@1=0.0738 (48/650)
[660/1000] running P@1=0.0727 (48/660)
[670/1000] running P@1=0.0731 (49/670)
[680/1000] running P@1=0.0735 (50/680)
[690/1000] running P@1=0.0725 (50/690)
[700/1000] running P@1=0.0757 (53/700)
[710/1000] running P@1=0.0789 (56/710)
[720/1000] running P@1=0.0792 (57/720)
[730/1000] running P@1=0.0795 (58/730)
[740/1000] running P@1=0.0784 (58/740)
[750/1000] running P@1=0.0773 (58/750)
[760/1000] running P@1=0.0763 (58/760)
[770/1000] running P@1=0.0779 (60/770)
[780/1000] running P@1=0.0769 (60/780)
[790/1000] running P@1=0.0759 (60/790)
[800/1000] running P@1=0.0750 (60/800)
[810/1000] running P@1=0.0741 (60/810)
[820/1000] running P@1=0.0744 (61/820)
[830/1000] running P@1=0.0747 (62/830)
[840/1000] running P@1=0.0750 (63/840)
[850/1000] running P@1=0.0765 (65/850)
[860/1000] running P@1=0.0767 (66/860)
[870/1000] running P@1=0.0759 (66/870)
[880/1000] running P@1=0.0773 (68/880)
[890/1000] running P@1=0.0764 (68/890)
[900/1000] running P@1=0.0767 (69/900)
[910/1000] running P@1=0.0780 (71/910)
[920/1000] running P@1=0.0772 (71/920)
[930/1000] running P@1=0.0763 (71/930)
[940/1000] running P@1=0.0755 (71/940)
[950/1000] running P@1=0.0758 (72/950)
[960/1000] running P@1=0.0750 (72/960)
[970/1000] running P@1=0.0742 (72/970)
[980/1000] running P@1=0.0755 (74/980)
[990/1000] running P@1=0.0747 (74/990)
[1000/1000] running P@1=0.0750 (75/1000)

Final P@1 over 1000 queries, avg candidate pool size=894.0 (chance=0.0011): 0.0750 (75/1000)
