07/19/2026 04:03:01 - INFO - src.utils -   Loading backbone [qwen3_vl]
`torch_dtype` is deprecated! Use `dtype` instead!
07/19/2026 04:03:07 - INFO - src.utils -   Loading processor
Loaded 1000 eval rows
You're using a Qwen2TokenizerFast tokenizer. Please note that with a fast tokenizer, using the `__call__` method is faster than using a method to encode the text followed by a call to the `pad` method to get a padded encoding.
[10/1000] running P@1=0.3000 (3/10)
[20/1000] running P@1=0.1500 (3/20)
[30/1000] running P@1=0.1667 (5/30)
[40/1000] running P@1=0.2250 (9/40)
[50/1000] running P@1=0.2200 (11/50)
[60/1000] running P@1=0.2167 (13/60)
[70/1000] running P@1=0.2143 (15/70)
[80/1000] running P@1=0.2125 (17/80)
[90/1000] running P@1=0.2000 (18/90)
[100/1000] running P@1=0.1800 (18/100)
[110/1000] running P@1=0.1909 (21/110)
[120/1000] running P@1=0.2167 (26/120)
[130/1000] running P@1=0.2231 (29/130)
[140/1000] running P@1=0.2357 (33/140)
[150/1000] running P@1=0.2400 (36/150)
[160/1000] running P@1=0.2313 (37/160)
[170/1000] running P@1=0.2294 (39/170)
[180/1000] running P@1=0.2222 (40/180)
[190/1000] running P@1=0.2211 (42/190)
[200/1000] running P@1=0.2300 (46/200)
[210/1000] running P@1=0.2333 (49/210)
[220/1000] running P@1=0.2364 (52/220)
[230/1000] running P@1=0.2348 (54/230)
[240/1000] running P@1=0.2292 (55/240)
[250/1000] running P@1=0.2240 (56/250)
[260/1000] running P@1=0.2346 (61/260)
[270/1000] running P@1=0.2333 (63/270)
[280/1000] running P@1=0.2321 (65/280)
[290/1000] running P@1=0.2379 (69/290)
[300/1000] running P@1=0.2400 (72/300)
[310/1000] running P@1=0.2323 (72/310)
[320/1000] running P@1=0.2375 (76/320)
[330/1000] running P@1=0.2303 (76/330)
[340/1000] running P@1=0.2235 (76/340)
[350/1000] running P@1=0.2200 (77/350)
[360/1000] running P@1=0.2250 (81/360)
[370/1000] running P@1=0.2216 (82/370)
[380/1000] running P@1=0.2237 (85/380)
[390/1000] running P@1=0.2205 (86/390)
[400/1000] running P@1=0.2200 (88/400)
[410/1000] running P@1=0.2195 (90/410)
[420/1000] running P@1=0.2214 (93/420)
[430/1000] running P@1=0.2163 (93/430)
[440/1000] running P@1=0.2205 (97/440)
[450/1000] running P@1=0.2222 (100/450)
[460/1000] running P@1=0.2174 (100/460)
[470/1000] running P@1=0.2191 (103/470)
[480/1000] running P@1=0.2229 (107/480)
[490/1000] running P@1=0.2245 (110/490)
[500/1000] running P@1=0.2240 (112/500)
[510/1000] running P@1=0.2235 (114/510)
[520/1000] running P@1=0.2269 (118/520)
[530/1000] running P@1=0.2226 (118/530)
[540/1000] running P@1=0.2222 (120/540)
[550/1000] running P@1=0.2218 (122/550)
[560/1000] running P@1=0.2232 (125/560)
[570/1000] running P@1=0.2246 (128/570)
[580/1000] running P@1=0.2207 (128/580)
[590/1000] running P@1=0.2186 (129/590)
[600/1000] running P@1=0.2183 (131/600)
[610/1000] running P@1=0.2148 (131/610)
[620/1000] running P@1=0.2161 (134/620)
[630/1000] running P@1=0.2159 (136/630)
[640/1000] running P@1=0.2141 (137/640)
[650/1000] running P@1=0.2123 (138/650)
[660/1000] running P@1=0.2091 (138/660)
[670/1000] running P@1=0.2060 (138/670)
[680/1000] running P@1=0.2059 (140/680)
[690/1000] running P@1=0.2087 (144/690)
[700/1000] running P@1=0.2143 (150/700)
[710/1000] running P@1=0.2169 (154/710)
[720/1000] running P@1=0.2181 (157/720)
[730/1000] running P@1=0.2192 (160/730)
[740/1000] running P@1=0.2176 (161/740)
[750/1000] running P@1=0.2187 (164/750)
[760/1000] running P@1=0.2197 (167/760)
[770/1000] running P@1=0.2195 (169/770)
[780/1000] running P@1=0.2167 (169/780)
[790/1000] running P@1=0.2165 (171/790)
[800/1000] running P@1=0.2137 (171/800)
[810/1000] running P@1=0.2111 (171/810)
[820/1000] running P@1=0.2110 (173/820)
[830/1000] running P@1=0.2084 (173/830)
[840/1000] running P@1=0.2107 (177/840)
[850/1000] running P@1=0.2129 (181/850)
[860/1000] running P@1=0.2105 (181/860)
[870/1000] running P@1=0.2092 (182/870)
[880/1000] running P@1=0.2091 (184/880)
[890/1000] running P@1=0.2112 (188/890)
[900/1000] running P@1=0.2100 (189/900)
[910/1000] running P@1=0.2088 (190/910)
[920/1000] running P@1=0.2098 (193/920)
[930/1000] running P@1=0.2097 (195/930)
[940/1000] running P@1=0.2106 (198/940)
[950/1000] running P@1=0.2116 (201/950)
[960/1000] running P@1=0.2115 (203/960)
[970/1000] running P@1=0.2103 (204/970)
[980/1000] running P@1=0.2122 (208/980)
[990/1000] running P@1=0.2111 (209/990)
[1000/1000] running P@1=0.2100 (210/1000)

Final P@1 over 1000 queries, avg candidate pool size=894.0 (chance=0.0011): 0.2100 (210/1000)
best440 exit code: 0
