07/19/2026 03:26:44 - INFO - src.utils -   Loading backbone [qwen3_vl]
`torch_dtype` is deprecated! Use `dtype` instead!
07/19/2026 03:26:55 - INFO - src.utils -   Loading processor
Loaded 1000 eval rows
You're using a Qwen2TokenizerFast tokenizer. Please note that with a fast tokenizer, using the `__call__` method is faster than using a method to encode the text followed by a call to the `pad` method to get a padded encoding.
[10/1000] running P@1=0.3000 (3/10)
[20/1000] running P@1=0.1500 (3/20)
[30/1000] running P@1=0.1667 (5/30)
[40/1000] running P@1=0.2250 (9/40)
[50/1000] running P@1=0.2200 (11/50)
[60/1000] running P@1=0.2167 (13/60)
[70/1000] running P@1=0.2143 (15/70)
[80/1000] running P@1=0.2125 (17/80)
[90/1000] running P@1=0.2000 (18/90)
[100/1000] running P@1=0.1900 (19/100)
[110/1000] running P@1=0.2000 (22/110)
[120/1000] running P@1=0.2167 (26/120)
[130/1000] running P@1=0.2231 (29/130)
[140/1000] running P@1=0.2357 (33/140)
[150/1000] running P@1=0.2400 (36/150)
[160/1000] running P@1=0.2313 (37/160)
[170/1000] running P@1=0.2294 (39/170)
[180/1000] running P@1=0.2222 (40/180)
[190/1000] running P@1=0.2211 (42/190)
[200/1000] running P@1=0.2300 (46/200)
[210/1000] running P@1=0.2333 (49/210)
[220/1000] running P@1=0.2364 (52/220)
[230/1000] running P@1=0.2348 (54/230)
[240/1000] running P@1=0.2292 (55/240)
[250/1000] running P@1=0.2240 (56/250)
[260/1000] running P@1=0.2346 (61/260)
[270/1000] running P@1=0.2333 (63/270)
[280/1000] running P@1=0.2321 (65/280)
[290/1000] running P@1=0.2379 (69/290)
[300/1000] running P@1=0.2400 (72/300)
[310/1000] running P@1=0.2323 (72/310)
[320/1000] running P@1=0.2375 (76/320)
[330/1000] running P@1=0.2303 (76/330)
[340/1000] running P@1=0.2235 (76/340)
[350/1000] running P@1=0.2200 (77/350)
[360/1000] running P@1=0.2250 (81/360)
[370/1000] running P@1=0.2216 (82/370)
[380/1000] running P@1=0.2211 (84/380)
[390/1000] running P@1=0.2179 (85/390)
[400/1000] running P@1=0.2175 (87/400)
[410/1000] running P@1=0.2171 (89/410)
[420/1000] running P@1=0.2190 (92/420)
[430/1000] running P@1=0.2140 (92/430)
[440/1000] running P@1=0.2182 (96/440)
[450/1000] running P@1=0.2200 (99/450)
[460/1000] running P@1=0.2152 (99/460)
[470/1000] running P@1=0.2170 (102/470)
[480/1000] running P@1=0.2208 (106/480)
[490/1000] running P@1=0.2224 (109/490)
[500/1000] running P@1=0.2220 (111/500)
[510/1000] running P@1=0.2216 (113/510)
[520/1000] running P@1=0.2250 (117/520)
[530/1000] running P@1=0.2208 (117/530)
[540/1000] running P@1=0.2204 (119/540)
[550/1000] running P@1=0.2200 (121/550)
[560/1000] running P@1=0.2214 (124/560)
[570/1000] running P@1=0.2228 (127/570)
[580/1000] running P@1=0.2207 (128/580)
[590/1000] running P@1=0.2203 (130/590)
[600/1000] running P@1=0.2200 (132/600)
[610/1000] running P@1=0.2180 (133/610)
[620/1000] running P@1=0.2194 (136/620)
[630/1000] running P@1=0.2190 (138/630)
[640/1000] running P@1=0.2172 (139/640)
[650/1000] running P@1=0.2154 (140/650)
[660/1000] running P@1=0.2121 (140/660)
[670/1000] running P@1=0.2090 (140/670)
[680/1000] running P@1=0.2088 (142/680)
[690/1000] running P@1=0.2116 (146/690)
[700/1000] running P@1=0.2171 (152/700)
[710/1000] running P@1=0.2197 (156/710)
[720/1000] running P@1=0.2208 (159/720)
[730/1000] running P@1=0.2219 (162/730)
[740/1000] running P@1=0.2203 (163/740)
[750/1000] running P@1=0.2213 (166/750)
[760/1000] running P@1=0.2224 (169/760)
[770/1000] running P@1=0.2234 (172/770)
[780/1000] running P@1=0.2205 (172/780)
[790/1000] running P@1=0.2203 (174/790)
[800/1000] running P@1=0.2175 (174/800)
[810/1000] running P@1=0.2148 (174/810)
[820/1000] running P@1=0.2146 (176/820)
[830/1000] running P@1=0.2120 (176/830)
[840/1000] running P@1=0.2131 (179/840)
[850/1000] running P@1=0.2153 (183/850)
[860/1000] running P@1=0.2140 (184/860)
[870/1000] running P@1=0.2126 (185/870)
[880/1000] running P@1=0.2125 (187/880)
[890/1000] running P@1=0.2146 (191/890)
[900/1000] running P@1=0.2133 (192/900)
[910/1000] running P@1=0.2121 (193/910)
[920/1000] running P@1=0.2130 (196/920)
[930/1000] running P@1=0.2129 (198/930)
[940/1000] running P@1=0.2128 (200/940)
[950/1000] running P@1=0.2137 (203/950)
[960/1000] running P@1=0.2135 (205/960)
[970/1000] running P@1=0.2124 (206/970)
[980/1000] running P@1=0.2133 (209/980)
[990/1000] running P@1=0.2121 (210/990)
[1000/1000] running P@1=0.2110 (211/1000)

Final P@1 over 1000 queries, avg candidate pool size=894.0 (chance=0.0011): 0.2110 (211/1000)
latest500 exit code: 0
